"Model.Year","Eng.Displacement","No.Cylinders","Aspiration","No.Gears","Lockup.Torque.Converter","Drive.Sys","Max.Ethanol","Fuel.Type"
2020,3.9,8,"TC",7,"N","R",10,"GPR"
2020,1.4,4,"TC",6,"Y","R",10,"GP"
2020,3,6,"SC",8,"Y","R",15,"GP"
2020,4,8,"TC",7,"Y","R",10,"GPR"
2020,3,6,"TC",9,"Y","R",10,"GPR"
2020,3.7,6,"N",6,"N","R",10,"GPR"
2020,2,4,"N",6,"N","R",10,"GPR"
2020,2,4,"N",6,"N","R",10,"GPR"
2020,2,4,"TC",8,"Y","R",10,"GP"
2020,3,6,"TC",8,"Y","R",10,"GP"
2020,3,6,"TC",8,"Y","A",10,"GP"
2020,3,6,"TC",8,"Y","A",10,"GP"
2020,3,6,"TC",6,"N","R",10,"GPR"
2020,3,6,"TC",6,"N","R",10,"GP"
2020,3,6,"TC",8,"Y","R",10,"GP"
2020,3,6,"TC",7,"N","R",10,"GP"
2020,2,4,"TC",8,"Y","R",10,"GPR"
2020,6.2,8,"N",10,"Y","R",10,"GPR"
2020,6.2,8,"N",6,"N","R",10,"GPR"
2020,1.4,4,"N",1,"N","F",10,"G"
2020,2.3,4,"TC",10,"Y","R",15,"G"
2020,2,4,"TC",9,"Y","R",10,"GPR"
2020,3,6,"TC",9,"Y","4",10,"GPR"
2020,2,4,"TC",7,"N","F",10,"GP"
2020,3.5,6,"N",9,"Y","F",10,"GP"
2020,2,4,"TC",8,"Y","R",10,"GP"
2020,3,6,"TC",6,"N","R",10,"GP"
2020,1.6,4,"N",6,"N","F",15,"G"
2020,1.6,4,"TC",7,"N","F",15,"G"
2020,2,4,"TC",6,"N","F",15,"G"
2020,2,4,"TC",8,"Y","R",15,"GP"
2020,2,4,"N",10,"Y","F",15,"G"
2020,1.8,4,"N",1,"N","F",15,"G"
2020,1.8,4,"N",1,"Y","F",15,"G"
2020,2,4,"TC",8,"Y","R",15,"GP"
2020,3.5,6,"N",8,"Y","F",15,"G"
2020,3,6,"TC",8,"Y","R",10,"GPR"
2020,1.8,4,"N",1,"N","F",15,"G"
2020,1.8,4,"N",1,"N","F",15,"G"
2020,2,4,"TS",8,"Y","A",10,"GPR"
2020,3,6,"TC",8,"Y","R",10,"GP"
2020,6.6,12,"TC",8,"Y","A",10,"GP"
2020,3.3,6,"TC",8,"Y","R",15,"GP"
2020,5,8,"N",8,"Y","R",15,"GP"
2020,1.5,4,"TC",1,"Y","F",10,"G"
